,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,local_lat,local_long,dest_lat,dest_long,time arround car,time arround walk,time arround bike,length arround car,length arround walk,length arround bike,time bridge one walk,time bridge one bike,length bridge two walk,length bridge two bike,location type,destination type,time bridge two walk,time bridge two bike,length bridge one walk,length bridge one bike
46,46,46,46,39.073,-77.13080556,39.05755556,-77.12277778,350.3,1830.1,642.2,2976.9,2541.8,2551.9,2050.5,940.0,2608.7,3029.1000000000004,house block,services,1878.3,685.8,2847.9,3309.1000000000004
47,47,47,47,39.073,-77.13080556,39.05441667,-77.11891667,367.2,2050.3,703.0,3319.2,2847.7,2899.5,2340.4,1095.6,3011.3,3772.5,house block,services,2168.2,841.3,3250.5,4052.6000000000004
48,48,48,48,39.073,-77.13080556,39.05738889,-77.11919444,342.3,1798.3,660.0,2997.5,2497.7,2677.6,2091.3,1018.9000000000001,2665.5,3394.3,house block,services,1919.1999999999998,764.7,2904.7,3674.3
49,49,49,49,39.073,-77.13080556,39.06419444,-77.12419444,291.1,1525.9,627.2,2386.7,2119.4,2510.3,1518.2,819.5,1869.5,2199.1000000000004,house block,services,1346.0,565.3,2108.6000000000004,2479.1000000000004
50,50,50,50,39.073,-77.13080556,39.07461111,-77.13763889,181.9,613.5,167.0,835.1,852.1,835.0,1433.7,674.6,3061.0,3123.9,house block,services,2203.8999999999996,724.9,1991.2,2010.2
51,51,51,51,39.072,-77.12980556,39.06436111,-77.12802778,300.1,1527.5,508.9,2181.6,2121.6,2371.1,1519.8000000000002,729.2,1600.0,1617.5,house block,mall,1152.0,403.5,2110.8,2255.4
52,52,52,52,39.072,-77.12980556,39.06236111,-77.12625,318.2,1591.0,563.8,2451.9,2209.8,2237.7,1708.4,806.3,1775.6999999999998,2002.6999999999998,house block,mall,1278.5,480.5,2372.8,2640.6
53,53,53,53,39.072,-77.12980556,39.05755556,-77.12277778,380.7,1688.6,602.9,3138.2,2345.3,2355.3,2166.6,972.2,2412.1,2832.5,house block,mall,1736.7,646.5,3009.2,3470.4
54,54,54,54,39.072,-77.12980556,39.05386111,-77.12538889,460.6,2304.1,792.0,3854.3,3200.2,3363.1,2633.7,1059.8,3074.5,3254.8,house block,school,2213.6000000000004,734.0999999999999,3658.0,3892.7
55,55,55,55,39.072,-77.12980556,39.05447222,-77.11919444,401.7,1925.3,669.6,3503.5,2674.1,2726.0,2473.0,1133.6999999999998,2837.7,3599.0,house block,health,2043.1000000000001,807.9,3434.8,4236.9
56,56,56,56,39.072,-77.12980556,39.05441667,-77.11891667,397.6,1908.8,663.7,3480.5,2651.1,2703.0,2456.5,1127.8,2814.7,3575.8999999999996,house block,mall,2026.6000000000001,802.0,3411.8,4213.9
57,57,57,57,39.072,-77.12980556,39.05738889,-77.11919444,372.7,1656.8,620.7,3158.8,2301.1,2481.0,2207.4,1051.1,2468.8999999999996,3197.7,house block,mall,1777.6,725.4,3066.0,3835.6
58,58,58,58,39.072,-77.12980556,39.06422222,-77.12552778,308.4,1550.4,584.5,2492.3,2153.3,2258.0,1542.6,816.0999999999999,1545.5,1873.1999999999998,house block,health,1112.7,490.29999999999995,2142.6,2511.1
59,59,59,59,39.072,-77.12980556,39.05975,-77.12263889,323.3,1411.4,558.6,2729.3,1960.4,2205.9,1932.5,912.9,2087.0,2473.2,house block,office,1502.6,587.2,2684.0,3111.1
60,60,60,60,39.072,-77.12980556,39.06419444,-77.12419444,321.4,1615.8,587.9,2548.0,2244.2,2313.7,1634.3000000000002,851.7,1672.9,2002.5,house block,mall,1204.4,526.0,2269.9,2640.4
61,61,61,61,39.072,-77.12980556,39.06566667,-77.12663889,272.9,1392.5,490.2,2018.4,1934.1,2188.2,1384.8000000000002,710.5,1286.1,1286.1,house block,restaurants,926.0,331.2,1923.3,2072.5
62,62,62,62,39.072,-77.12980556,39.06566667,-77.12663889,272.9,1392.5,490.2,2018.4,1934.1,2188.2,1384.8000000000002,710.5,1286.1,1286.1,house block,groceries,926.0,331.2,1923.3,2072.5
63,63,63,63,39.072,-77.12980556,39.06730556,-77.12897222,244.3,1218.6,378.3,1734.5,1692.5,1799.7,1212.2,598.5999999999999,1610.8,1659.6,house block,office,1159.7,408.59999999999997,1683.6,1684.0
64,64,64,64,39.072,-77.12980556,39.06808333,-77.12886111,248.3,1146.2,394.4,1684.3,1591.9,1819.6,1130.1,614.7,1639.8,1671.3,house block,restaurants,1180.7,410.0,1569.6,1703.9
